filiere_code,matiere_code,jour,heure_debut,heure_fin,salle,type_cours,enseignant,semestre
L1-ECO-2026,MICRO101,Lundi,08:00,10:00,Amphi A,CM,Pr. KIKI,S1
L1-ECO-2026,MICRO101,Mercredi,10:15,12:15,Salle 102,TD,Pr. KIKI,S1
L1-ECO-2026,MACRO201,Lundi,10:15,12:15,Amphi B,CM,Dr. HOUENON,S1
L1-ECO-2026,MACRO201,Jeudi,08:00,10:00,Salle 201,TD,Dr. HOUENON,S1
L1-ECO-2026,COMPTA101,Mardi,08:00,10:00,Salle 101,CM,M. AHOUANNOU,S1
L1-ECO-2026,COMPTA101,Vendredi,14:00,16:00,Salle 103,TD,M. AHOUANNOU,S1
L1-ECO-2026,STAPP201,Mardi,10:15,12:15,Salle 201,CM,Mme BOKO,S2
L1-ECO-2026,STAPP201,Jeudi,14:00,16:00,Labo 1,TP,Mme BOKO,S2
L1-ECO-2026,DROIT201,Mercredi,08:00,10:00,Amphi A,CM,M. GNACADJA,S2
L1-ECO-2026,DROIT201,Vendredi,08:00,10:00,Salle 102,TD,M. GNACADJA,S2
L2-ECO-2026,MICRO101,Mercredi,14:00,16:00,Salle 103,CM,Pr. KIKI,S1
L2-ECO-2026,MICRO101,Vendredi,08:00,10:00,Salle 201,TD,Pr. KIKI,S1
L2-ECO-2026,MACRO201,Mardi,14:00,16:00,Amphi B,CM,Dr. HOUENON,S1
L2-ECO-2026,MACRO201,Jeudi,10:15,12:15,Salle 102,TD,Dr. HOUENON,S1
L2-ECO-2026,COMPTA101,Lundi,08:00,10:00,Salle 101,CM,M. AHOUANNOU,S1
L2-ECO-2026,COMPTA101,Mercredi,08:00,10:00,Salle 103,TD,M. AHOUANNOU,S1
L2-ECO-2026,STAPP201,Lundi,14:00,16:00,Salle 201,CM,Mme BOKO,S2
L2-ECO-2026,STAPP201,Jeudi,08:00,10:00,Labo 1,TP,Mme BOKO,S2
L2-ECO-2026,DROIT201,Mardi,08:00,10:00,Amphi A,CM,M. GNACADJA,S2
L2-ECO-2026,DROIT201,Vendredi,14:00,16:00,Salle 102,TD,M. GNACADJA,S2
L3-ECO-2026,MICRO101,Mardi,08:00,10:00,Amphi A,CM,Pr. KIKI,S1
L3-ECO-2026,MICRO101,Jeudi,14:00,16:00,Salle 201,TD,Pr. KIKI,S1
L3-ECO-2026,MACRO201,Lundi,10:15,12:15,Salle 103,CM,Dr. HOUENON,S1
L3-ECO-2026,MACRO201,Mercredi,08:00,10:00,Salle 102,TD,Dr. HOUENON,S1
L3-ECO-2026,COMPTA101,Mardi,14:00,16:00,Amphi B,CM,M. AHOUANNOU,S1
L3-ECO-2026,COMPTA101,Vendredi,10:15,12:15,Salle 101,TD,M. AHOUANNOU,S1
L3-ECO-2026,STAPP201,Mercredi,10:15,12:15,Salle 201,CM,Mme BOKO,S2
L3-ECO-2026,STAPP201,Vendredi,08:00,10:00,Labo 1,TP,Mme BOKO,S2
L3-ECO-2026,DROIT201,Lundi,08:00,10:00,Amphi A,CM,M. GNACADJA,S2
L3-ECO-2026,DROIT201,Jeudi,08:00,10:00,Salle 103,TD,M. GNACADJA,S2
