filiere_code,matiere_code,jour,heure_debut,heure_fin,salle,type_cours,enseignant,semestre
L1-ELEC-2026,EA201,Lundi,08:00,10:00,Amphi A,CM,Pr. AGBOSSOU,S1
L1-ELEC-2026,EA201,Mercredi,14:00,16:00,Labo 1,TP,Pr. AGBOSSOU,S1
L1-ELEC-2026,EN301,Lundi,10:15,12:15,Salle 101,CM,Dr. ZANNOU,S1
L1-ELEC-2026,EN301,Jeudi,08:00,10:00,Labo 2,TP,Dr. ZANNOU,S1
L1-ELEC-2026,AUTO201,Mardi,08:00,10:00,Amphi B,CM,M. HOUNSA,S1
L1-ELEC-2026,AUTO201,Vendredi,14:00,16:00,Salle 102,TD,M. HOUNSA,S1
L1-ELEC-2026,ELTECH301,Mardi,10:15,12:15,Salle 103,CM,Pr. DAGA,S2
L1-ELEC-2026,ELTECH301,Jeudi,14:00,16:00,Labo 3,TP,Pr. DAGA,S2
L1-ELEC-2026,TS201,Mercredi,08:00,10:00,Salle 201,CM,Dr. OKOU,S2
L1-ELEC-2026,TS201,Vendredi,08:00,10:00,Labo 1,TP,Dr. OKOU,S2
L1-ELEC-2026,PHYA101,Lundi,14:00,16:00,Amphi A,CM,M. DJOSSOU,S2
L1-ELEC-2026,PHYA101,Jeudi,10:15,12:15,Salle 102,TD,M. DJOSSOU,S2
L2-ELEC-2026,EA201,Mardi,14:00,16:00,Salle 201,CM,Pr. AGBOSSOU,S1
L2-ELEC-2026,EA201,Jeudi,08:00,10:00,Labo 3,TP,Pr. AGBOSSOU,S1
L2-ELEC-2026,EN301,Lundi,08:00,10:00,Salle 103,CM,Dr. ZANNOU,S1
L2-ELEC-2026,EN301,Mercredi,10:15,12:15,Labo 1,TP,Dr. ZANNOU,S1
L2-ELEC-2026,AUTO201,Mercredi,08:00,10:00,Amphi B,CM,M. HOUNSA,S1
L2-ELEC-2026,AUTO201,Vendredi,10:15,12:15,Salle 101,TD,M. HOUNSA,S1
L2-ELEC-2026,ELTECH301,Lundi,10:15,12:15,Salle 102,CM,Pr. DAGA,S2
L2-ELEC-2026,ELTECH301,Jeudi,14:00,16:00,Labo 2,TP,Pr. DAGA,S2
L2-ELEC-2026,TS201,Mardi,08:00,10:00,Amphi A,CM,Dr. OKOU,S2
L2-ELEC-2026,TS201,Vendredi,14:00,16:00,Labo 1,TP,Dr. OKOU,S2
L2-ELEC-2026,PHYA101,Mercredi,14:00,16:00,Salle 201,CM,M. DJOSSOU,S2
L2-ELEC-2026,PHYA101,Vendredi,08:00,10:00,Salle 103,TD,M. DJOSSOU,S2
L3-ELEC-2026,EA201,Mercredi,08:00,10:00,Amphi A,CM,Pr. AGBOSSOU,S1
L3-ELEC-2026,EA201,Vendredi,14:00,16:00,Labo 2,TP,Pr. AGBOSSOU,S1
L3-ELEC-2026,EN301,Mardi,08:00,10:00,Salle 201,CM,Dr. ZANNOU,S1
L3-ELEC-2026,EN301,Jeudi,10:15,12:15,Labo 3,TP,Dr. ZANNOU,S1
L3-ELEC-2026,AUTO201,Lundi,10:15,12:15,Salle 102,CM,M. HOUNSA,S1
L3-ELEC-2026,AUTO201,Jeudi,08:00,10:00,Salle 101,TD,M. HOUNSA,S1
L3-ELEC-2026,ELTECH301,Mardi,14:00,16:00,Amphi B,CM,Pr. DAGA,S2
L3-ELEC-2026,ELTECH301,Vendredi,08:00,10:00,Labo 1,TP,Pr. DAGA,S2
L3-ELEC-2026,TS201,Lundi,08:00,10:00,Salle 103,CM,Dr. OKOU,S2
L3-ELEC-2026,TS201,Mercredi,14:00,16:00,Labo 2,TP,Dr. OKOU,S2
L3-ELEC-2026,PHYA101,Mardi,10:15,12:15,Salle 201,CM,M. DJOSSOU,S2
L3-ELEC-2026,PHYA101,Jeudi,14:00,16:00,Salle 102,TD,M. DJOSSOU,S2
