filiere_code,matiere_code,jour,heure_debut,heure_fin,salle,type_cours,enseignant,semestre
L1-GC-2026,RDM201,Lundi,08:00,10:00,Amphi A,CM,Pr. HOUNGAN,S1
L1-GC-2026,RDM201,Mercredi,14:00,16:00,Salle 102,TD,Pr. HOUNGAN,S1
L1-GC-2026,BA301,Lundi,10:15,12:15,Amphi B,CM,Dr. AMOUSSOU,S1
L1-GC-2026,BA301,Jeudi,14:00,16:00,Labo 1,TP,Dr. AMOUSSOU,S1
L1-GC-2026,MDS201,Mardi,08:00,10:00,Salle 101,CM,M. TONATO,S1
L1-GC-2026,MDS201,Vendredi,14:00,16:00,Labo 2,TP,M. TONATO,S1
L1-GC-2026,TOPO101,Mardi,10:15,12:15,Salle 103,CM,Mme ADJAKOU,S2
L1-GC-2026,TOPO101,Jeudi,08:00,10:00,Salle 201,TD,Mme ADJAKOU,S2
L1-GC-2026,HYD301,Mercredi,08:00,10:00,Amphi A,CM,Dr. GBAGUIDI,S2
L1-GC-2026,HYD301,Vendredi,08:00,10:00,Labo 3,TP,Dr. GBAGUIDI,S2
L1-GC-2026,DT101,Lundi,14:00,16:00,Salle 103,CM,M. SOSSOU,S2
L1-GC-2026,DT101,Jeudi,10:15,12:15,Labo 1,TD,M. SOSSOU,S2
L2-GC-2026,RDM201,Mardi,14:00,16:00,Salle 201,CM,Pr. HOUNGAN,S1
L2-GC-2026,RDM201,Jeudi,08:00,10:00,Salle 103,TD,Pr. HOUNGAN,S1
L2-GC-2026,BA301,Lundi,08:00,10:00,Salle 102,CM,Dr. AMOUSSOU,S1
L2-GC-2026,BA301,Mercredi,10:15,12:15,Labo 2,TP,Dr. AMOUSSOU,S1
L2-GC-2026,MDS201,Mercredi,08:00,10:00,Amphi B,CM,M. TONATO,S1
L2-GC-2026,MDS201,Vendredi,10:15,12:15,Labo 3,TP,M. TONATO,S1
L2-GC-2026,TOPO101,Lundi,10:15,12:15,Salle 101,CM,Mme ADJAKOU,S2
L2-GC-2026,TOPO101,Jeudi,14:00,16:00,Salle 201,TD,Mme ADJAKOU,S2
L2-GC-2026,HYD301,Mardi,08:00,10:00,Amphi A,CM,Dr. GBAGUIDI,S2
L2-GC-2026,HYD301,Vendredi,14:00,16:00,Labo 1,TP,Dr. GBAGUIDI,S2
L2-GC-2026,DT101,Mercredi,14:00,16:00,Salle 103,CM,M. SOSSOU,S2
L2-GC-2026,DT101,Vendredi,08:00,10:00,Salle 102,TD,M. SOSSOU,S2
L3-GC-2026,RDM201,Mercredi,08:00,10:00,Amphi A,CM,Pr. HOUNGAN,S1
L3-GC-2026,RDM201,Vendredi,14:00,16:00,Salle 201,TD,Pr. HOUNGAN,S1
L3-GC-2026,BA301,Mardi,08:00,10:00,Salle 103,CM,Dr. AMOUSSOU,S1
L3-GC-2026,BA301,Jeudi,10:15,12:15,Labo 3,TP,Dr. AMOUSSOU,S1
L3-GC-2026,MDS201,Lundi,10:15,12:15,Salle 102,CM,M. TONATO,S1
L3-GC-2026,MDS201,Jeudi,08:00,10:00,Labo 2,TP,M. TONATO,S1
L3-GC-2026,TOPO101,Mardi,14:00,16:00,Amphi B,CM,Mme ADJAKOU,S2
L3-GC-2026,TOPO101,Vendredi,08:00,10:00,Salle 101,TD,Mme ADJAKOU,S2
L3-GC-2026,HYD301,Lundi,08:00,10:00,Salle 201,CM,Dr. GBAGUIDI,S2
L3-GC-2026,HYD301,Mercredi,14:00,16:00,Labo 1,TP,Dr. GBAGUIDI,S2
L3-GC-2026,DT101,Mardi,10:15,12:15,Salle 103,CM,M. SOSSOU,S2
L3-GC-2026,DT101,Jeudi,14:00,16:00,Labo 2,TD,M. SOSSOU,S2
