filiere_code,matiere_code,jour,heure_debut,heure_fin,salle,type_cours,enseignant,semestre
L1-MATH-2026,ANA201,Lundi,08:00,10:00,Amphi A,CM,Pr. MENSAH,S1
L1-MATH-2026,ANA201,Mercredi,10:15,12:15,Salle 102,TD,Pr. MENSAH,S1
L1-MATH-2026,ALG101,Lundi,10:15,12:15,Amphi B,CM,Dr. BOHOUN,S1
L1-MATH-2026,ALG101,Jeudi,08:00,10:00,Salle 201,TD,Dr. BOHOUN,S1
L1-MATH-2026,PROBA201,Mardi,08:00,10:00,Salle 101,CM,M. AGOSSA,S1
L1-MATH-2026,PROBA201,Vendredi,14:00,16:00,Salle 103,TD,M. AGOSSA,S1
L1-MATH-2026,OPTIM301,Mardi,10:15,12:15,Salle 201,CM,Dr. AFFO,S2
L1-MATH-2026,OPTIM301,Jeudi,14:00,16:00,Salle 102,TD,Dr. AFFO,S2
L1-MATH-2026,ANUM201,Mercredi,08:00,10:00,Amphi A,CM,Pr. SAVI,S2
L1-MATH-2026,ANUM201,Vendredi,08:00,10:00,Labo 1,TP,Pr. SAVI,S2
L2-MATH-2026,ANA201,Mercredi,14:00,16:00,Salle 103,CM,Pr. MENSAH,S1
L2-MATH-2026,ANA201,Vendredi,08:00,10:00,Salle 201,TD,Pr. MENSAH,S1
L2-MATH-2026,ALG101,Mardi,14:00,16:00,Amphi B,CM,Dr. BOHOUN,S1
L2-MATH-2026,ALG101,Jeudi,10:15,12:15,Salle 102,TD,Dr. BOHOUN,S1
L2-MATH-2026,PROBA201,Lundi,08:00,10:00,Salle 101,CM,M. AGOSSA,S1
L2-MATH-2026,PROBA201,Mercredi,08:00,10:00,Salle 103,TD,M. AGOSSA,S1
L2-MATH-2026,OPTIM301,Lundi,14:00,16:00,Salle 201,CM,Dr. AFFO,S2
L2-MATH-2026,OPTIM301,Jeudi,08:00,10:00,Salle 102,TD,Dr. AFFO,S2
L2-MATH-2026,ANUM201,Mardi,08:00,10:00,Amphi A,CM,Pr. SAVI,S2
L2-MATH-2026,ANUM201,Vendredi,14:00,16:00,Labo 1,TP,Pr. SAVI,S2
L3-MATH-2026,ANA201,Mardi,08:00,10:00,Amphi A,CM,Pr. MENSAH,S1
L3-MATH-2026,ANA201,Jeudi,14:00,16:00,Salle 201,TD,Pr. MENSAH,S1
L3-MATH-2026,ALG101,Lundi,10:15,12:15,Salle 103,CM,Dr. BOHOUN,S1
L3-MATH-2026,ALG101,Mercredi,08:00,10:00,Salle 102,TD,Dr. BOHOUN,S1
L3-MATH-2026,PROBA201,Mardi,14:00,16:00,Amphi B,CM,M. AGOSSA,S1
L3-MATH-2026,PROBA201,Vendredi,10:15,12:15,Salle 101,TD,M. AGOSSA,S1
L3-MATH-2026,OPTIM301,Mercredi,10:15,12:15,Salle 201,CM,Dr. AFFO,S2
L3-MATH-2026,OPTIM301,Vendredi,08:00,10:00,Salle 103,TD,Dr. AFFO,S2
L3-MATH-2026,ANUM201,Lundi,08:00,10:00,Amphi A,CM,Pr. SAVI,S2
L3-MATH-2026,ANUM201,Jeudi,08:00,10:00,Labo 1,TP,Pr. SAVI,S2
